,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalFloorSF,TotalPorchSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted,AfterWW2
240,241,20,FV,75.0,9000,2,0.0,1,4,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,4,3,PConc,4.0,3,3.0,6.0,1078,1.0,0,488,1566,GasA,5,Y,SBrkr,1566,0,0,1566,1,0,2,0,3,1,4,7,8,0,0.0,Attchd,2008.0,2.0,2,750,3.0,3.0,3,144,168,0,0,0,0,0.0,0.0,Missing,0,4,2010,WD,Normal,262500,3132,1566,168,3.0,1,1,1,0,0,1,1,1
241,242,30,RM,40.0,3880,2,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3,1.0,5.0,329,1.0,0,357,686,GasA,4,Y,SBrkr,866,0,0,866,0,0,1,0,2,1,4,4,8,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,3,58,42,0,0,0,0,0.0,0.0,Missing,0,8,2007,WD,Normal,110500,1552,866,42,1.0,1,0,1,0,1,0,1,0
242,243,50,RM,63.0,5000,2,0.0,1,4,4,Corner,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,540,540,GasA,4,N,FuseA,889,551,0,1440,0,0,1,0,3,1,3,6,8,0,0.0,Attchd,1940.0,1.0,1,352,2.0,3.0,3,0,0,77,0,0,0,0.0,0.0,Missing,0,4,2006,WD,Normal,79000,1980,1440,77,1.0,1,1,1,0,1,0,1,0
243,244,160,RL,75.0,10762,2,0.0,1,4,4,Corner,3,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3,1.0,1.0,0,1.0,0,626,626,GasA,3,Y,SBrkr,626,591,0,1217,0,0,1,1,3,1,3,6,8,1,3.0,Attchd,1980.0,2.0,1,288,3.0,3.0,3,0,28,0,0,0,0,0.0,0.0,Missing,0,4,2009,WD,Normal,120000,1843,1217,28,1.5,1,1,1,0,0,0,1,1
244,245,60,RL,66.5,8880,2,0.0,2,4,4,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,1.0,6.0,695,1.0,0,253,948,GasA,5,Y,SBrkr,1222,888,0,2110,1,0,2,1,3,1,4,8,8,2,2.0,Attchd,1994.0,2.0,2,463,3.0,3.0,3,0,130,0,0,0,0,0.0,0.0,Missing,0,5,2010,WD,Normal,205000,3058,2110,130,3.5,1,1,1,0,1,0,1,1
245,246,20,RL,80.0,10400,2,0.0,1,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,3,3,CBlock,4.0,3,3.0,6.0,929,1.0,0,916,1845,GasA,4,Y,SBrkr,1872,0,0,1872,0,1,2,0,3,1,3,6,8,1,3.0,Attchd,1988.0,3.0,2,604,3.0,3.0,3,197,39,0,0,0,0,0.0,0.0,Missing,0,6,2006,WD,Normal,241500,3717,1872,39,2.5,1,1,1,0,0,0,1,1
246,247,190,RM,69.0,9142,2,1.0,1,4,4,Inside,3,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,2,Stone,2.0,3,1.0,1.0,0,1.0,0,1020,1020,GasA,4,N,FuseP,908,1020,0,1928,0,0,2,0,4,2,2,9,8,0,0.0,Detchd,1910.0,1.0,1,440,1.0,1.0,3,0,60,112,0,0,0,0.0,0.0,Missing,0,4,2006,WD,Normal,137000,2948,1928,172,2.0,1,1,1,0,1,0,1,0
247,248,20,RL,75.0,11310,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,3,3,CBlock,3.0,3,1.0,1.0,0,1.0,0,1367,1367,GasA,5,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,3,5,8,1,3.0,Attchd,1954.0,1.0,2,451,3.0,3.0,3,0,30,0,0,0,0,0.0,0.0,Missing,0,6,2006,WD,Normal,140000,2742,1375,30,1.0,1,1,1,0,0,0,1,1
248,249,60,RL,72.0,11317,2,0.0,1,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,840,840,GasA,5,Y,SBrkr,840,828,0,1668,0,0,2,1,3,1,4,8,8,0,0.0,Attchd,2003.0,2.0,2,500,3.0,3.0,3,144,68,0,0,0,0,0.0,0.0,Missing,0,9,2007,WD,Normal,180000,2508,1668,68,2.5,1,1,1,0,0,1,1,1
249,250,50,RL,80.0,159000,2,0.0,3,1,4,CulDSac,1,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,4,3,CBlock,4.0,3,4.0,3.0,697,1.0,0,747,1444,GasA,4,Y,SBrkr,1444,700,0,2144,0,1,2,0,4,1,4,7,8,2,3.0,Attchd,1958.0,3.0,2,389,3.0,3.0,3,0,98,0,0,0,0,0.0,0.0,Shed,500,6,2007,WD,Normal,277000,3588,2144,98,2.5,1,1,1,0,1,0,1,1
250,251,30,RL,55.0,5350,2,0.0,2,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940,1966,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,1,CBlock,3.0,3,1.0,1.0,0,1.0,0,728,728,GasA,5,Y,SBrkr,1306,0,0,1306,0,0,1,0,3,1,2,6,5,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,3,263,0,0,0,0,0,0.0,3.0,Shed,450,5,2010,WD,Normal,76500,2034,1306,0,1.0,1,0,0,0,1,0,1,0
251,252,120,RM,44.0,4750,2,0.0,2,2,4,Inside,2,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,4,3,PConc,4.0,3,4.0,6.0,1573,1.0,0,0,1573,GasA,5,Y,SBrkr,1625,0,0,1625,1,1,2,0,2,1,4,5,8,1,4.0,Attchd,2006.0,3.0,2,538,3.0,3.0,3,123,0,0,0,153,0,0.0,0.0,Missing,0,12,2007,WD,Family,235000,3198,1625,153,3.5,1,1,1,0,1,1,1,1
252,253,60,RL,65.0,8366,2,0.0,2,4,4,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,798,798,GasA,5,Y,SBrkr,798,842,0,1640,0,0,2,1,3,1,4,6,8,0,0.0,Attchd,2004.0,2.0,2,520,3.0,3.0,3,138,45,0,0,0,0,0.0,0.0,Missing,0,12,2008,WD,Normal,173000,2438,1640,45,2.5,1,1,1,0,0,1,1,1
253,254,80,RL,85.0,9350,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,108.0,3,3,CBlock,4.0,3,4.0,2.0,270,5.0,580,452,1302,GasA,5,Y,SBrkr,1302,0,0,1302,0,1,2,0,3,1,4,7,7,0,0.0,Attchd,1964.0,2.0,1,309,3.0,3.0,3,333,0,0,0,0,0,0.0,4.0,Missing,0,10,2007,CWD,Normal,158000,2604,1302,0,2.5,1,1,0,0,1,0,1,1
254,255,20,RL,70.0,8400,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3,1.0,3.0,922,1.0,0,392,1314,GasA,3,Y,SBrkr,1314,0,0,1314,1,0,1,0,3,1,3,5,8,0,0.0,Attchd,1957.0,2.0,1,294,3.0,3.0,3,250,0,0,0,0,0,0.0,0.0,Missing,0,6,2010,WD,Normal,145000,2628,1314,0,2.0,1,1,0,0,0,0,1,1
255,256,60,RL,66.0,8738,2,0.0,2,4,4,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,975,975,GasA,5,Y,SBrkr,1005,1286,0,2291,0,0,2,1,4,1,4,8,8,1,3.0,BuiltIn,1999.0,3.0,2,429,3.0,3.0,3,192,0,0,0,0,0,0.0,0.0,Missing,0,2,2006,WD,Normal,230000,3266,2291,0,2.5,1,1,0,0,0,0,1,1
256,257,60,FV,64.0,8791,2,0.0,2,4,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,1.0,3.0,503,1.0,0,361,864,GasA,5,Y,SBrkr,864,864,0,1728,0,0,2,1,3,1,4,7,8,0,0.0,Attchd,2003.0,2.0,2,673,3.0,3.0,3,216,56,0,0,0,0,0.0,0.0,Missing,0,5,2008,WD,Normal,207500,2592,1728,56,2.5,1,1,1,0,0,1,1,1
257,258,20,RL,68.0,8814,2,0.0,1,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,4,3,PConc,4.0,3,1.0,6.0,1334,1.0,0,270,1604,GasA,5,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,4,8,8,1,4.0,Attchd,2006.0,2.0,2,660,3.0,3.0,3,123,110,0,0,0,0,0.0,0.0,Missing,0,3,2009,WD,Abnorml,220000,3208,1604,110,3.5,1,1,1,0,0,1,1,1
258,259,60,RL,80.0,12435,2,0.0,1,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,4,3,PConc,4.0,3,1.0,6.0,361,1.0,0,602,963,GasA,5,Y,SBrkr,963,829,0,1792,0,0,2,1,3,1,4,7,8,1,3.0,Attchd,2001.0,2.0,2,564,3.0,3.0,3,0,96,0,245,0,0,0.0,0.0,Missing,0,5,2008,WD,Normal,231500,2755,1792,341,2.5,1,1,1,0,0,1,1,1
259,260,20,RM,70.0,12702,2,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,3,PConc,0.0,0,0.0,0.0,0,0.0,0,0,0,GasA,4,Y,FuseA,882,0,0,882,0,0,1,0,2,1,3,4,8,0,0.0,Detchd,1956.0,1.0,1,308,3.0,3.0,3,0,45,0,0,0,0,0.0,0.0,Missing,0,12,2008,WD,Normal,97000,882,882,45,1.0,0,1,1,0,0,0,1,1
260,261,80,RL,120.0,19296,2,0.0,1,4,4,Corner,3,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,3,3,CBlock,3.0,3,4.0,3.0,672,5.0,690,0,1362,GasA,3,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,3,6,8,1,3.0,Attchd,1991.0,1.0,2,884,3.0,3.0,3,0,0,252,0,0,0,0.0,3.0,Missing,0,5,2009,WD,Normal,176000,2744,1382,252,2.0,1,1,1,0,0,0,1,1
261,262,60,RL,69.0,9588,2,0.0,2,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,4,3,PConc,5.0,3,1.0,1.0,0,1.0,0,1482,1482,GasA,5,Y,SBrkr,1482,1092,0,2574,0,0,2,1,3,1,5,10,8,1,4.0,BuiltIn,2007.0,3.0,3,868,3.0,3.0,3,0,148,0,0,0,0,0.0,0.0,Missing,0,11,2007,New,Partial,276000,4056,2574,148,2.5,1,1,1,0,0,1,0,1
262,263,80,RL,88.0,8471,2,0.0,2,4,4,Corner,3,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,3,3,CBlock,4.0,4,3.0,5.0,506,1.0,0,0,506,GasA,3,Y,SBrkr,1212,0,0,1212,1,0,1,0,3,1,3,6,8,1,3.0,Attchd,1978.0,1.0,2,492,3.0,3.0,3,292,12,0,0,0,0,0.0,3.0,Missing,0,7,2006,WD,Normal,151000,1718,1212,12,2.0,1,1,1,0,1,0,1,1
263,264,50,RM,50.0,5500,2,0.0,1,4,4,Corner,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3,1.0,2.0,234,5.0,692,0,926,GasA,3,Y,SBrkr,926,0,390,1316,1,0,1,0,3,1,3,6,8,0,0.0,Detchd,1974.0,1.0,2,484,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,4,2010,WD,Normal,130000,2242,926,0,2.0,1,1,0,0,1,0,1,0
264,265,30,RM,30.0,5232,2,1.0,4,3,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2.0,3,1.0,1.0,0,1.0,0,680,680,GasA,4,N,FuseP,764,0,0,764,0,0,1,0,2,1,3,4,8,0,0.0,Detchd,1965.0,1.0,2,504,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2008,WD,Normal,73000,1444,764,0,1.0,1,1,0,0,1,0,1,0
265,266,20,RL,78.0,12090,2,0.0,2,4,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,3,4,CBlock,4.0,3,1.0,6.0,588,2.0,228,606,1422,GasA,3,Y,SBrkr,1422,0,0,1422,0,0,2,0,3,1,4,7,8,1,3.0,Attchd,1981.0,3.0,2,576,3.0,3.0,3,276,0,0,0,0,0,0.0,5.0,Missing,0,6,2008,WD,Normal,175500,2844,1422,0,2.0,1,1,0,0,0,0,1,1
266,267,60,RL,70.0,11207,2,0.0,2,2,4,FR2,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3,3.0,6.0,714,1.0,0,88,802,GasA,4,Y,SBrkr,802,709,0,1511,1,0,2,1,3,1,3,8,8,1,3.0,Attchd,1997.0,3.0,2,413,3.0,3.0,3,95,75,0,0,0,0,0.0,0.0,Missing,0,6,2006,WD,Normal,185000,2313,1511,75,3.5,1,1,1,0,0,0,1,1
267,268,75,RL,60.0,8400,2,0.0,1,3,4,Inside,2,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3,1.0,2.0,378,1.0,0,342,720,GasA,5,Y,SBrkr,1052,720,420,2192,0,0,2,1,4,1,4,8,8,1,4.0,Detchd,1939.0,1.0,1,240,3.0,3.0,3,262,24,0,0,0,0,0.0,0.0,Missing,0,7,2008,WD,Normal,179500,2912,1772,24,2.5,1,1,1,0,1,0,1,0
268,269,30,RM,71.0,6900,2,0.0,1,4,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3,1.0,5.0,403,3.0,125,212,740,GasA,5,Y,SBrkr,778,0,0,778,0,0,1,0,2,1,3,4,8,1,4.0,Detchd,1966.0,3.0,1,924,5.0,5.0,3,0,25,0,0,0,0,0.0,0.0,Missing,0,2,2008,WD,Normal,120500,1518,778,25,1.0,1,1,1,0,1,0,1,0
269,270,20,RL,65.5,7917,2,0.0,2,4,4,Corner,3,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,3,4,CBlock,3.0,4,1.0,4.0,751,1.0,0,392,1143,GasA,3,Y,SBrkr,1113,0,0,1113,1,0,1,1,3,1,3,6,8,1,2.0,Attchd,1987.0,2.0,1,504,3.0,4.0,3,370,30,0,0,0,0,0.0,5.0,Missing,0,5,2007,WD,Normal,148000,2256,1113,30,2.5,1,1,1,0,0,0,1,1
270,271,60,FV,84.0,10728,2,0.0,1,4,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,2.0,1.0,0,1.0,0,1095,1095,GasA,4,Y,SBrkr,1095,844,0,1939,0,0,2,1,3,1,4,8,8,1,4.0,Attchd,2006.0,2.0,3,1053,3.0,3.0,3,192,51,0,0,0,0,0.0,0.0,Missing,0,8,2006,New,Partial,266000,3034,1939,51,2.5,1,1,1,0,0,1,0,1
271,272,20,RL,73.0,39104,2,0.0,2,1,4,CulDSac,1,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3,4.0,2.0,226,6.0,1063,96,1385,GasA,5,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,3,5,5,2,3.0,Attchd,1954.0,1.0,2,439,3.0,3.0,3,81,0,0,0,0,0,0.0,0.0,Missing,0,4,2008,WD,Normal,241500,2748,1363,0,2.0,1,1,0,0,1,0,1,1
272,273,60,RL,92.0,11764,2,0.0,2,4,4,CulDSac,3,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,4,3,PConc,4.0,3,1.0,6.0,524,1.0,0,628,1152,GasA,5,Y,SBrkr,1164,1106,0,2270,0,0,2,1,4,1,4,9,8,1,4.0,Attchd,1999.0,3.0,3,671,3.0,3.0,3,132,57,0,0,0,0,0.0,0.0,Missing,0,4,2010,WD,Normal,290000,3422,2270,57,2.5,1,1,1,0,1,0,1,1
273,274,20,RL,80.0,9600,2,0.0,1,4,4,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,3,3,CBlock,3.0,3,1.0,3.0,620,2.0,620,0,1240,GasA,4,Y,SBrkr,1632,0,0,1632,1,0,2,0,3,1,3,6,7,1,4.0,Attchd,1958.0,2.0,1,338,3.0,3.0,3,289,0,0,0,0,0,0.0,4.0,Missing,0,4,2009,WD,Normal,139000,2872,1632,0,3.0,1,1,0,0,1,0,1,1
274,275,20,RL,76.0,8314,2,0.0,1,4,4,Corner,3,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,1982,Gable,CompShg,HdBoard,ImStucc,None,0.0,3,3,CBlock,3.0,3,4.0,5.0,546,1.0,0,270,816,GasA,3,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,3,5,8,0,0.0,Attchd,1982.0,1.0,1,264,3.0,3.0,3,168,0,0,0,0,0,0.0,0.0,Missing,0,6,2007,WD,Normal,124500,1632,816,0,1.0,1,1,0,0,0,0,1,1
275,276,50,RL,55.0,7264,2,0.0,1,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,3.0,3,1.0,1.0,0,1.0,0,952,952,GasW,4,N,SBrkr,952,596,0,1548,0,0,2,1,3,1,5,5,8,0,0.0,Detchd,1978.0,1.0,2,672,3.0,3.0,3,74,0,0,0,144,0,0.0,0.0,Missing,0,10,2009,WD,Normal,205000,2500,1548,144,2.5,1,1,1,0,1,0,1,0
276,277,20,RL,129.0,9196,2,0.0,2,4,4,Inside,3,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3,1.0,1.0,0,1.0,0,1560,1560,GasA,5,Y,SBrkr,1560,0,0,1560,0,0,2,0,3,1,4,7,8,0,0.0,Attchd,2003.0,3.0,2,573,3.0,3.0,3,100,150,0,0,0,0,0.0,0.0,Missing,0,4,2010,WD,Normal,201000,3120,1560,150,2.0,1,1,1,0,0,1,1,1
277,278,20,RL,140.0,19138,2,0.0,1,4,4,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3,1.0,2.0,120,1.0,0,744,864,GasA,5,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,8,0,0.0,Detchd,1951.0,1.0,2,400,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2010,WD,Normal,141000,1728,864,0,1.0,1,1,0,0,0,0,1,1
278,279,20,RL,107.0,14450,2,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,5,3,PConc,5.0,3,4.0,1.0,0,1.0,0,2121,2121,GasA,5,Y,SBrkr,2121,0,0,2121,0,0,2,1,3,1,5,8,8,1,5.0,Attchd,2007.0,3.0,3,732,3.0,3.0,3,124,98,0,0,142,0,0.0,0.0,Missing,0,5,2007,New,Partial,415298,4242,2121,240,2.5,1,1,1,0,1,1,0,1
279,280,60,RL,83.0,10005,2,0.0,1,4,4,Inside,3,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299.0,3,3,CBlock,4.0,3,1.0,4.0,392,1.0,0,768,1160,GasA,5,Y,SBrkr,1156,866,0,2022,0,0,2,1,4,1,3,8,8,1,3.0,Attchd,1977.0,3.0,2,505,3.0,3.0,3,288,117,0,0,0,0,0.0,0.0,Missing,0,3,2008,WD,Normal,192000,3182,2022,117,2.5,1,1,1,0,0,0,1,1
280,281,60,RL,82.0,11287,2,0.0,1,4,4,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,4,3,CBlock,4.0,3,3.0,6.0,421,1.0,0,386,807,GasA,4,Y,SBrkr,1175,807,0,1982,0,0,2,1,3,1,4,7,8,1,3.0,Attchd,1989.0,3.0,2,575,3.0,3.0,3,0,84,0,196,0,0,0.0,0.0,Missing,0,1,2007,WD,Normal,228500,2789,1982,280,2.5,1,1,1,0,0,0,1,1
281,282,20,FV,60.0,7200,2,2.0,1,4,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,4,3,PConc,4.0,3,1.0,6.0,905,1.0,0,357,1262,GasA,4,Y,SBrkr,1262,0,0,1262,0,0,2,0,2,1,4,5,8,0,0.0,Attchd,2006.0,3.0,2,572,3.0,3.0,3,0,120,0,0,0,0,0.0,0.0,Missing,0,5,2006,New,Partial,185000,2524,1262,120,2.0,1,1,1,0,0,1,0,1
282,283,120,RL,34.0,5063,2,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,4,3,PConc,4.0,3,1.0,6.0,904,1.0,0,410,1314,GasA,5,Y,SBrkr,1314,0,0,1314,1,0,2,0,2,1,4,6,8,1,4.0,Attchd,2008.0,2.0,2,626,3.0,3.0,3,172,62,0,0,0,0,0.0,0.0,Missing,0,4,2009,ConLw,Normal,207500,2628,1314,62,3.0,1,1,1,0,1,1,1,1
283,284,20,RL,74.0,9612,2,0.0,1,4,4,Inside,3,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,1468,1468,GasA,5,Y,SBrkr,1468,0,0,1468,0,0,2,0,3,1,4,6,8,1,4.0,Attchd,2008.0,3.0,3,898,3.0,3.0,3,210,150,0,0,0,0,0.0,0.0,Missing,0,12,2009,New,Partial,244600,2936,1468,150,2.0,1,1,1,0,1,1,0,1
284,285,120,RL,50.0,8012,2,0.0,1,4,4,Inside,3,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,None,0.0,4,3,PConc,4.0,3,1.0,6.0,430,1.0,0,1145,1575,GasA,4,Y,SBrkr,1575,0,0,1575,1,0,2,0,2,1,4,5,8,0,0.0,Attchd,1992.0,2.0,2,529,3.0,3.0,3,0,0,52,0,0,0,0.0,0.0,Missing,0,7,2007,WD,Normal,179200,3150,1575,52,3.0,1,1,1,0,0,0,1,1
285,286,160,FV,35.0,4251,2,2.0,2,4,4,Inside,3,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,625,625,GasA,5,Y,SBrkr,625,625,0,1250,0,0,2,1,2,1,4,5,8,0,0.0,Detchd,2006.0,2.0,2,528,3.0,3.0,3,0,54,0,0,0,0,0.0,0.0,Missing,0,6,2007,New,Partial,164700,1875,1250,54,2.5,1,1,1,0,1,1,0,1
286,287,50,RL,77.0,9786,2,0.0,2,3,4,Inside,3,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3,1.0,3.0,600,1.0,0,312,912,GasA,3,Y,SBrkr,1085,649,0,1734,0,0,1,1,3,1,4,7,8,1,4.0,Attchd,1962.0,2.0,2,440,3.0,3.0,3,0,0,0,0,128,0,0.0,5.0,Missing,0,6,2006,WD,Normal,159000,2646,1734,128,1.5,1,1,1,0,1,0,1,1
287,288,20,RL,73.0,8125,2,0.0,2,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3,1.0,4.0,614,1.0,0,244,858,GasA,3,Y,SBrkr,858,0,0,858,0,0,1,0,3,1,3,5,8,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2006,WD,Normal,88000,1716,858,0,1.0,1,0,0,0,0,0,1,1
